Id Linha Base,Timestamp,Horario,Fim de Semana,Sensor Comodo,Comodo,lig_desl_luz,lig_desl_aparelho,tempo_lig_luz,tempo_lig_aparelho,Id Atividade,Atividade
177,2019-05-27 18:04,18:04,False,18,Garagem,0,0,0.0,0,4,Saida
177,2019-05-27 18:04,18:04,False,22,Corredor,0,0,0.0,0,15,Pres corredor
177,2019-05-27 18:04,18:04,False,18,Garagem,0,0,0.0,0,16,Pres garagem
178,2019-05-27 18:07,18:07,False,16,Cozinha,0,0,1.0,1.0,10,Cozinhar
178,2019-05-27 18:07,18:07,False,17,Lavanderia,0,0,0.0,0.0,12,Pres lavanderia
180,2019-05-27 18:13,18:13,False,18,Garagem,0,0,0.0,0,3,Entrada
180,2019-05-27 18:13,18:13,False,18,Garagem,0,0,0.0,0,4,Saida
180,2019-05-27 18:13,18:13,False,17,Lavanderia,0,0,0.0,0.0,12,Pres lavanderia
180,2019-05-27 18:13,18:13,False,18,Garagem,0,0,0.0,0,16,Pres garagem
183,2019-05-27 18:26,18:26,False,16,Cozinha,0,0,1.0,1.0,10,Cozinhar
185,2019-05-27 18:32,18:32,False,15,Sala,0,0,0.0,0.0,6,Pres sala
186,2019-05-27 18:35,18:35,False,17,Lavanderia,0,0,1.0,0.0,12,Pres lavanderia
187,2019-05-27 18:38,18:38,False,16,Cozinha,0,0,1.0,1.0,10,Cozinhar
189,2019-05-27 18:44,18:44,False,18,Garagem,0,0,0.0,0,3,Entrada
189,2019-05-27 18:44,18:44,False,18,Garagem,0,0,0.0,0,4,Saida
189,2019-05-27 18:44,18:44,False,13,Banho,0,0,1.0,0,9,Banho aceso
189,2019-05-27 18:44,18:44,False,23,Quarto 3,0,0,0.0,0.0,14,Pres quarto 3
189,2019-05-27 18:44,18:44,False,22,Corredor,0,0,1.0,0,15,Pres corredor
189,2019-05-27 18:44,18:44,False,18,Garagem,0,0,0.0,0,16,Pres garagem
192,2019-05-27 18:56,18:56,False,15,Sala,0,0,0.0,0.0,6,Pres sala
192,2019-05-27 18:56,18:56,False,16,Cozinha,0,0,1.0,1.0,10,Cozinhar
192,2019-05-27 18:56,18:56,False,17,Lavanderia,0,0,1.0,0.0,12,Pres lavanderia
192,2019-05-27 18:56,18:56,False,23,Quarto 3,0,0,0.0,0.0,14,Pres quarto 3
192,2019-05-27 18:56,18:56,False,22,Corredor,0,0,1.0,0,15,Pres corredor
