Sensor,Timestamp
pres_corredor,"""2019-04-15 06:18"""
pres_quarto2,"""2019-04-15 06:20"""
pres_garagem,"""2019-04-15 06:25"""
pres_quarto2,"""2019-04-15 06:31"""
pres_corredor,"""2019-04-15 06:31"""
pres_quarto3,"""2019-04-15 06:31"""
pres_quarto3,"""2019-04-15 06:33"""
pres_garagem,"""2019-04-15 06:39"""
pres_quarto3,"""2019-04-15 06:39"""
pres_quarto3,"""2019-04-15 06:42"""
pres_quarto3,"""2019-04-15 06:44"""
pres_sala,"""2019-04-15 06:50"""
pres_cozinha,"""2019-04-15 06:50"""
pres_garagem,"""2019-04-15 06:50"""
pres_quarto2,"""2019-04-15 06:50"""
pres_cobertura,"""2019-04-15 06:50"""
pres_corredor,"""2019-04-15 06:50"""
pres_quarto3,"""2019-04-15 06:50"""
pres_sala,"""2019-04-15 06:54"""
pres_cozinha,"""2019-04-15 06:54"""
pres_quarto3,"""2019-04-15 06:54"""
pres_sala,"""2019-04-15 06:56"""
pres_cozinha,"""2019-04-15 06:56"""
pres_quarto2,"""2019-04-15 06:56"""
pres_quarto3,"""2019-04-15 06:56"""
pres_cozinha,"""2019-04-15 06:58"""
pres_quarto2,"""2019-04-15 06:58"""
pres_corredor,"""2019-04-15 06:58"""
pres_quarto3,"""2019-04-15 06:58"""
luz_aquario ON,"""2019-04-15 07:00"""
luz_banho ON,"""2019-04-15 07:00"""
pres_quarto2,"""2019-04-15 07:00"""
pres_corredor,"""2019-04-15 07:00"""
pres_quarto3,"""2019-04-15 07:00"""
pres_quarto2,"""2019-04-15 07:03"""
pres_corredor,"""2019-04-15 07:03"""
pres_quarto3,"""2019-04-15 07:03"""
pres_sala,"""2019-04-15 07:05"""
pres_lavanderia,"""2019-04-15 07:05"""
pres_garagem,"""2019-04-15 07:05"""
pres_quarto3,"""2019-04-15 07:05"""
luz_banho OFF,"""2019-04-15 07:17"""
luz_quarto3 ON,"""2019-04-15 07:17"""
pres_sala,"""2019-04-15 07:17"""
pres_cozinha,"""2019-04-15 07:17"""
pres_garagem,"""2019-04-15 07:17"""
pres_quarto2,"""2019-04-15 07:17"""
pres_corredor,"""2019-04-15 07:17"""
pres_quarto3,"""2019-04-15 07:17"""
luz_quarto3 OFF,"""2019-04-15 07:19"""
pres_sala,"""2019-04-15 07:19"""
pres_cozinha,"""2019-04-15 07:19"""
pres_corredor,"""2019-04-15 07:19"""
pres_quarto3,"""2019-04-15 07:19"""
pres_sala,"""2019-04-15 07:21"""
pres_cozinha,"""2019-04-15 07:21"""
pres_cobertura,"""2019-04-15 07:21"""
pres_corredor,"""2019-04-15 07:21"""
pres_quarto3,"""2019-04-15 07:21"""
luz_sala ON,"""2019-04-15 07:23"""
pres_sala,"""2019-04-15 07:23"""
pres_cozinha,"""2019-04-15 07:23"""
pres_garagem,"""2019-04-15 07:23"""
pres_quarto2,"""2019-04-15 07:23"""
pres_quarto3,"""2019-04-15 07:23"""
luz_banho ON,"""2019-04-15 07:25"""
pres_garagem,"""2019-04-15 07:25"""
pres_quarto3,"""2019-04-15 07:25"""
pres_sala,"""2019-04-15 07:27"""
pres_cozinha,"""2019-04-15 07:27"""
pres_garagem,"""2019-04-15 07:27"""
pres_cobertura,"""2019-04-15 07:27"""
pres_corredor,"""2019-04-15 07:27"""
pres_quarto3,"""2019-04-15 07:27"""
luz_banho OFF,"""2019-04-15 07:30"""
pres_sala,"""2019-04-15 07:30"""
luz_sala OFF,"""2019-04-15 07:32"""
pres_sala,"""2019-04-15 07:32"""
pres_sala,"""2019-04-15 07:34"""
pres_lavanderia,"""2019-04-15 07:34"""
pres_garagem,"""2019-04-15 07:34"""
pres_corredor,"""2019-04-15 07:34"""
pres_garagem,"""2019-04-15 07:36"""
pres_cobertura,"""2019-04-15 07:36"""
pres_corredor,"""2019-04-15 07:36"""
pres_cobertura,"""2019-04-15 07:38"""
pres_corredor,"""2019-04-15 07:38"""
pres_garagem,"""2019-04-15 07:40"""
pres_quarto2,"""2019-04-15 07:40"""
pres_cobertura,"""2019-04-15 07:40"""
pres_corredor,"""2019-04-15 07:40"""
pres_quarto3,"""2019-04-15 07:40"""
pres_quarto2,"""2019-04-15 07:48"""
pres_quarto3,"""2019-04-15 07:48"""
pres_quarto3,"""2019-04-15 07:51"""
pres_quarto3,"""2019-04-15 07:53"""
pres_garagem,"""2019-04-15 07:55"""
pres_quarto3,"""2019-04-15 07:55"""
pres_garagem,"""2019-04-15 07:57"""
pres_garagem,"""2019-04-15 07:59"""
pres_cozinha,"""2019-04-15 08:01"""
pres_cozinha,"""2019-04-15 08:09"""
